GEN,REP,PH,EH,EP,EL,ED,CL,CD,CW,KW,NR,NKR,CDED,PERK,TKW,NKE
H1,1,2.106,1.046,0.49723326,15.74,49.932,30.53,16.6,28.559066,164.252026,15.6,31.2,0.612103556,85.13118113,347.2381145,458.4
H1,2,2.198,1.086,0.492139439,13.7,49.198,30.464,14.66,22.3437888,130.1961046,16.4,24.8,0.619407326,85.23873075,336.8997375,386.4
H1,3,2.288,1.154,0.502225667,15.06,52.64,31.7,16.16,29.6148448,176.001436,15.6,29.2,0.60269783,85.90723559,422.1651469,430.6
H10,1,1.788,0.888,0.513537987,13.94,44.058,26.23,15.04,12.8565366,115.8741146,14.8,33,0.595656154,89.84746639,258.3024643,445.6
H10,2,2.054,1.032,0.503906397,13.56,43.878,23.492,14.44,11.482977,118.0732812,16,32.4,0.534509236,91.08459402,232.5911993,496.4
H10,3,2.272,1.114,0.491106168,14.46,43.676,24.61,16.06,12.4986276,127.726942,15.2,34.6,0.565623056,90.72876843,250.8885925,524.4
H11,1,1.71,0.808,0.488513382,15.48,45.208,24.986,16.72,15.1676948,140.1821766,15.6,36,0.552420175,90.28453682,263.7073001,534.6
H11,2,2.094,1.06,0.508723403,12.24,46.906,26.532,14.3,13.4927186,114.1174362,16.8,26.2,0.565828725,89.33361983,287.5823469,397
H11,3,2.5,1.44,0.57734657,15.02,49.028,27.524,15.16,19.3616626,167.846178,16.4,35,0.562018726,89.58586513,314.6025797,531.6
H12,1,2.522,1.516,0.601180251,14.36,49.172,28.408,15,18.218553,153.0762892,16.4,32,0.577388376,89.24952878,291.2009085,524.8
H12,2,2.766,1.582,0.571957431,13.78,46.522,23.78,14.62,16.2902214,153.059576,17.6,31.4,0.511398701,90.4127504,282.9940531,532.2
H12,3,2.002,0.782,0.385648496,13.732,47.526,25.294,14.34,18.8727816,138.9491807,14.8,25.4,0.531970382,88.35622567,276.7046021,493.6
H13,1,2.52,1.094,0.434353875,16.1,51.674,28.154,16.64,23.924671,199.1389934,18,30.8,0.545347613,88.94597591,380.2794798,530.2
H13,2,2.584,1.324,0.51148111,15.24,50.254,26.734,15.9,19.3069633,173.8553413,20.4,33.4,0.531522684,90.28714861,258.8202636,667.8
H13,3,2.692,1.52,0.56596859,14.82,50.098,26.96,15.44,21.4031702,171.8106476,17.2,32,0.538069362,88.94086074,319.7810916,538.6
H2,1,2.048,0.998,0.485799252,14.78,50.538,29.938,16.44,25.1480896,155.3517268,16,28,0.592180307,86.45036844,324.5362339,478
H2,2,2.102,0.984,0.467094697,15.92,50.204,30.342,16.98,19.9593074,165.8545124,16,29.6,0.604703989,89.34940706,356.1989242,470.4
H2,3,2.312,1.158,0.500649769,15.5,51.164,30.152,16.6,21.0411432,159.7166822,15.2,28.6,0.589213551,88.13256788,357.0464933,450.6
H3,1,2.094,1.022,0.484993213,15.5,49.752,30.076,16.68,19.2370523,157.4904199,16.8,32,0.605526184,89.15286771,333.286627,483
H3,2,1.96,0.926,0.472923613,15.48,46.234,27.35,16.24,17.8208036,135.3664906,14,30,0.591650071,88.39774371,349.8486087,389.6
H3,3,2.076,0.9106,0.438322457,13.22,45.23,28.282,16.32,18.2077756,124.1033036,13.6,27.8,0.625850486,87.07416344,325.0252488,390.4
H4,1,1.99,0.918,0.461841029,15.84,43.878,27.81,17.02,18.2738894,141.1611915,12.4,33.6,0.634176581,88.7165295,316.7428997,446
H4,2,2.142,1.034,0.48167266,16.84,46.226,27.862,17.22,21.8629086,158.929846,13.2,35.4,0.603075125,87.93065808,341.2779221,466.2
H4,3,2.016,0.876,0.433744257,13.92,47.352,27.366,15.44,18.2598954,130.271961,16,31.6,0.57868339,87.67191352,262.1649395,510.4
H5,1,2.01,0.948,0.47114535,14.56,49.968,31.348,15.96,24.1712708,149.817065,16.8,30.2,0.627291141,86.04637001,302.8989303,502.6
H5,2,2.046,0.932,0.45396751,15.3,49.078,29.884,16.22,26.9437703,144.4001947,18,30.6,0.609056543,84.43566124,293.2064155,515.4
H5,3,2.228,0.998,0.460915478,14.22,51.334,29.612,17.36,29.03769,189.1352884,17.6,36.2,0.578058877,86.83472573,320.3865354,591.4
H6,1,2.11,1.152,0.546323075,13.36,48.614,33.16,14,20.2791142,123.8382506,16.4,24.8,0.680693965,85.95717825,311.760882,403.8
H6,2,2.09,1.062,0.507672383,13.78,49.436,31.504,14.98,21.072258,131.0599438,17.2,26.8,0.637343347,85.91210299,298.7782191,436.4
H6,3,2.26,1.24,0.548991032,13.46,51.942,31.046,15.32,27.7773488,156.3033678,15.6,27.6,0.598953584,85.04154786,373.5752291,418.4
H7,1,2.192,1.182,0.538524218,14.44,49.96,30.74,16.04,29.5684526,157.2305158,16.4,31.8,0.618430559,83.18567404,354.1545062,466.4
H7,2,2.136,1.046,0.489022924,13.84,46.17,27.762,14.26,23.0213738,135.4762232,14.4,25.6,0.60115428,85.45469013,355.4800741,377.2
H7,3,2.204,1.212,0.54975737,15.34,50.28,32.164,15.7,29.2997136,174.2594316,16,31.4,0.639883014,85.61940951,364.5030213,478.4
H8,1,2.102,1.052,0.500567331,15.42,48.94,31.68,15.98,28.7293582,166.819301,15.2,28.8,0.647444919,85.25127072,391.3090826,434.8
H8,2,2.152,1.106,0.514286572,14.64,45.098,28.014,15.56,19.0781112,130.5137344,14.4,28.8,0.620159645,87.34901692,320.4605718,404.8
H8,3,2.046,1.116,0.544830057,14.06,44.302,27.408,16,18.30057,126.9590014,14,27.8,0.618905915,87.53200477,331.5178727,382.4
H9,1,2.09,1.056,0.504812457,14.44,43.482,27.306,15.14,15.6085086,118.9151766,14,28,0.628677651,88.00437905,335.1592969,355.6
H9,2,2.01,0.826,0.41105292,14.24,43.888,26.2,14.94,15.6504402,115.7064532,14,29.2,0.597370099,87.97308982,274.0761641,417.6
H9,3,1.984,0.84,0.421707001,16.72,44.194,27.094,17.56,18.6792268,132.782078,15.6,34,0.613932112,87.38897946,273.8418922,486
